target_prevalence,negative_weight,category,pairs,positive_examples,unweighted_prevalence,weighted_prevalence,average_precision,roc_auc
0.15,1.964196046680897,Обувь,2797,281,0.10046478369681802,0.05380135015817679,0.15135749868273626,0.7318697701259984
0.15,1.964196046680897,Одежда,3531,415,0.11753044463324837,0.06349998240781762,0.1314670546398823,0.7182660036809548
0.15,1.964196046680897,Продукты питания,2685,754,0.2808193668528864,0.16582863216821703,0.43666843104429454,0.7245984474997584
0.15,1.964196046680897,Спорт и отдых,2651,709,0.26744624669935874,0.15673812365479775,0.35419532488597943,0.7180621667279262
0.15,1.964196046680897,Строительство и ремонт,2724,612,0.22466960352422907,0.12856110990590386,0.37695246283731954,0.7667007854278157
0.15,1.964196046680897,Товары для животных,2734,979,0.3580833942940746,0.22118475192133416,0.4693786172956173,0.713513120254702
0.15,1.964196046680897,Хобби и творчество,2680,1236,0.46119402985074626,0.303514052444731,0.6082520074127009,0.7757479336435157
0.15,1.964196046680897,Электроника,2748,471,0.17139737991266377,0.09527711929947387,0.2828547376540983,0.7739193839996987
0.15,1.964196046680897,Ювелирные изделия,2849,333,0.11688311688311688,0.0631289523607711,0.13059069334152468,0.6648405161918671
0.1,3.1196054859049536,Автотовары,2859,512,0.17908359566281917,0.06535852535218034,0.26290246196660727,0.7074926934650547
0.1,3.1196054859049536,Аптека,2692,210,0.07800891530460624,0.026405592258962395,0.2711811823359139,0.8962645332105412
0.1,3.1196054859049536,Бытовая техника,2682,969,0.36129753914988816,0.15349560829992215,0.3783911911304425,0.7362697805948188
0.1,3.1196054859049536,Бытовая химия,2571,1226,0.4768572539867756,0.22612127190892378,0.42422246092663723,0.6826112664269267
0.1,3.1196054859049536,Галантерея и аксессуары,2649,444,0.16761041902604756,0.06063312373305154,0.1617365854605212,0.7165757594328952
0.1,3.1196054859049536,Детские товары,2683,1528,0.569511740588893,0.29778932337061825,0.5163533404163048,0.6977298225334936
0.1,3.1196054859049536,Дом и сад,2632,656,0.24924012158054712,0.09618288203598041,0.30020112662134013,0.7383923391675669
0.1,3.1196054859049536,Канцелярские товары,2570,857,0.33346303501945523,0.13820609653789848,0.2831334964706612,0.682876704397218
0.1,3.1196054859049536,Красота и гигиена,2635,943,0.3578747628083491,0.15157427122478545,0.34257775981465693,0.7190778637666106
0.1,3.1196054859049536,Мебель,2806,401,0.1429080541696365,0.05073604466814514,0.17864653156928434,0.7114142917135353
0.1,3.1196054859049536,Музыкальные инструменты,2709,592,0.21853082318198597,0.08226558517014236,0.44428377157146903,0.8379048628221956
0.1,3.1196054859049536,Обувь,2797,281,0.10046478369681802,0.034563654272277596,0.10329075279486366,0.7318697701259894
0.1,3.1196054859049536,Одежда,3531,415,0.11753044463324837,0.040944422292049386,0.08730679412860039,0.7182660036809534
0.1,3.1196054859049536,Продукты питания,2685,754,0.2808193668528864,0.11124294049899543,0.35372340731224755,0.7245984474997444
0.1,3.1196054859049536,Спорт и отдых,2651,709,0.26744624669935874,0.10476892399144731,0.26903149260319636,0.718062166727912
0.1,3.1196054859049536,Строительство и ремонт,2724,612,0.22466960352422907,0.08499283715509143,0.29538249822164453,0.7667007854278027
0.1,3.1196054859049536,Товары для животных,2734,979,0.3580833942940746,0.15169104617930568,0.3768754868918533,0.7135131202546905
0.1,3.1196054859049536,Хобби и творчество,2680,1236,0.46119402985074626,0.2153043666633656,0.5066501645927403,0.775747933643514
0.1,3.1196054859049536,Электроника,2748,471,0.17139737991266377,0.062183621915873184,0.2038769299896623,0.773919383999689
0.1,3.1196054859049536,Ювелирные изделия,2849,333,0.11688311688311688,0.04069945669485542,0.08826965356728211,0.6648405161918576
0.075,4.275014925129011,Автотовары,2859,512,0.17908359566281917,0.0485516988901872,0.22163982830590448,0.7074926934650656
0.075,4.275014925129011,Аптека,2692,210,0.07800891530460624,0.019407449812359433,0.2248834742865874,0.8962645332105461
0.075,4.275014925129011,Бытовая техника,2682,969,0.36129753914988816,0.11685820645808413,0.31808208193206366,0.7362697805948153
0.075,4.275014925129011,Бытовая химия,2571,1226,0.4768572539867756,0.17574805626262716,0.35823818911814476,0.6826112664269179
0.075,4.275014925129011,Галантерея и аксессуары,2649,444,0.16761041902604756,0.04498294336490824,0.12636532302830258,0.7165757594329025
0.075,4.275014925129011,Детские товары,2683,1528,0.569511740588893,0.2363260977998089,0.4448335008420785,0.6977298225334873
0.075,4.275014925129011,Дом и сад,2632,656,0.24924012158054712,0.07206075474880407,0.24748317296283784,0.7383923391675671
0.075,4.275014925129011,Канцелярские товары,2570,857,0.33346303501945523,0.10476643813939203,0.23021039555076983,0.682876704397214
0.075,4.275014925129011,Красота и гигиена,2635,943,0.3578747628083491,0.11533298526954906,0.2846431466782722,0.7190778637666061
0.075,4.275014925129011,Мебель,2806,401,0.1429080541696365,0.037538342602990625,0.1485317872037279,0.7114142917135484
0.075,4.275014925129011,Музыкальные инструменты,2709,592,0.21853082318198597,0.06139673466600521,0.3903110464765676,0.8379048628221977
0.075,4.275014925129011,Обувь,2797,281,0.10046478369681802,0.025459961034085758,0.07856809104326726,0.7318697701260035
0.075,4.275014925129011,Одежда,3531,415,0.11753044463324837,0.03021269774147085,0.06536300708858232,0.7182660036809744
0.075,4.275014925129011,Продукты питания,2685,754,0.2808193668528864,0.08369358370250073,0.3030745475109269,0.7245984474997437
0.075,4.275014925129011,Спорт и отдых,2651,709,0.26744624669935874,0.07868092169779488,0.21982346764204536,0.7180621667279107
0.075,4.275014925129011,Строительство и ремонт,2724,612,0.22466960352422907,0.0634800015550044,0.24785959518864376,0.7667007854278061
0.075,4.275014925129011,Товары для животных,2734,979,0.3580833942940746,0.11542563796287224,0.3196764908030838,0.7135131202546877
0.075,4.275014925129011,Хобби и творчество,2680,1236,0.46119402985074626,0.16682139594339981,0.43720255882917164,0.7757479336435082
0.075,4.275014925129011,Электроника,2748,471,0.17139737991266377,0.046152901005212556,0.159803555654091,0.7739193839996956
0.075,4.275014925129011,Ювелирные изделия,2849,333,0.11688311688311688,0.030029928336210498,0.06706927454830625,0.6648405161918749
