split,routing,priority,specialist,route_budget,score_mode,route_coverage,minilm_coverage,rumodernbert_coverage,macro_ap,baseline_bge_macro_ap,delta_vs_bge,routed_pairs,routing_uses_labels
hard,uncertainty_abs_minilm,uncertainty_abs,minilm,0.3,blend_specialist_25,0.2999656002751978,0.2999656002751978,0.0,0.37665125897224355,0.3759746515593398,0.0006766074129037625,1744,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.05,replace,0.04987960096319229,0.04987960096319229,0.0,0.3761552782126291,0.3759746515593398,0.0001806266532893286,290,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.05,blend_50_50,0.04987960096319229,0.04987960096319229,0.0,0.37637781539855736,0.3759746515593398,0.0004031638392175685,290,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.05,blend_specialist_25,0.04987960096319229,0.04987960096319229,0.0,0.37608094722949426,0.3759746515593398,0.00010629567015446595,290,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.1,replace,0.0999312005503956,0.0999312005503956,0.0,0.3749127157855811,0.3759746515593398,-0.001061935773758682,581,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.1,blend_50_50,0.0999312005503956,0.0999312005503956,0.0,0.3761001376760676,0.3759746515593398,0.00012548611672780208,581,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.1,blend_specialist_25,0.0999312005503956,0.0999312005503956,0.0,0.376227589832938,0.3759746515593398,0.0002529382735982355,581,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.15,replace,0.1499828001375989,0.1499828001375989,0.0,0.37547633533433233,0.3759746515593398,-0.0004983162250074558,872,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.15,blend_50_50,0.1499828001375989,0.1499828001375989,0.0,0.3764052232510698,0.3759746515593398,0.0004305716917299973,872,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.15,blend_specialist_25,0.1499828001375989,0.1499828001375989,0.0,0.37634235568849245,0.3759746515593398,0.00036770412915265727,872,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.2,replace,0.1998624011007912,0.1998624011007912,0.0,0.37436037642208364,0.3759746515593398,-0.0016142751372561492,1162,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.2,blend_50_50,0.1998624011007912,0.1998624011007912,0.0,0.37617222008167445,0.3759746515593398,0.00019756852233465683,1162,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.2,blend_specialist_25,0.1998624011007912,0.1998624011007912,0.0,0.3758728495726002,0.3759746515593398,-0.0001018019867395914,1162,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.3,replace,0.2999656002751978,0.2999656002751978,0.0,0.3747696738503587,0.3759746515593398,-0.001204977708981092,1744,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.3,blend_50_50,0.2999656002751978,0.2999656002751978,0.0,0.37678265540502776,0.3759746515593398,0.0008080038456879657,1744,False
hard,uncertainty_entropy_minilm,uncertainty_entropy,minilm,0.3,blend_specialist_25,0.2999656002751978,0.2999656002751978,0.0,0.37665125897224355,0.3759746515593398,0.0006766074129037625,1744,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.05,replace,0.04987960096319229,0.0,0.04987960096319229,0.3742926885579605,0.3759746515593398,-0.0016819630013792941,290,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.05,blend_50_50,0.04987960096319229,0.0,0.04987960096319229,0.37527010262683397,0.3759746515593398,-0.0007045489325058218,290,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.05,blend_specialist_25,0.04987960096319229,0.0,0.04987960096319229,0.37566765407511227,0.3759746515593398,-0.0003069974842275225,290,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.1,replace,0.0999312005503956,0.0,0.0999312005503956,0.37175401606726666,0.3759746515593398,-0.004220635492073133,581,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.1,blend_50_50,0.0999312005503956,0.0,0.0999312005503956,0.3743058175839608,0.3759746515593398,-0.0016688339753789805,581,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.1,blend_specialist_25,0.0999312005503956,0.0,0.0999312005503956,0.3752015505879507,0.3759746515593398,-0.0007731009713891068,581,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.15,replace,0.1499828001375989,0.0,0.1499828001375989,0.3704569212696162,0.3759746515593398,-0.005517730289723577,872,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.15,blend_50_50,0.1499828001375989,0.0,0.1499828001375989,0.37354023174873946,0.3759746515593398,-0.00243441981060033,872,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.15,blend_specialist_25,0.1499828001375989,0.0,0.1499828001375989,0.374786521584721,0.3759746515593398,-0.0011881299746188123,872,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.2,replace,0.1998624011007912,0.0,0.1998624011007912,0.3675821058389569,0.3759746515593398,-0.008392545720382893,1162,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.2,blend_50_50,0.1998624011007912,0.0,0.1998624011007912,0.372158233897567,0.3759746515593398,-0.003816417661772764,1162,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.2,blend_specialist_25,0.1998624011007912,0.0,0.1998624011007912,0.37405955813845193,0.3759746515593398,-0.001915093420887859,1162,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.3,replace,0.2999656002751978,0.0,0.2999656002751978,0.365263845850883,0.3759746515593398,-0.010710805708456783,1744,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.3,blend_50_50,0.2999656002751978,0.0,0.2999656002751978,0.3707347264633708,0.3759746515593398,-0.005239925095968989,1744,False
hard,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.3,blend_specialist_25,0.2999656002751978,0.0,0.2999656002751978,0.3733475471407185,0.3759746515593398,-0.0026271044186212955,1744,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.05,replace,0.04987960096319229,0.04987960096319229,0.0,0.37573628672827036,0.3759746515593398,-0.0002383648310694264,290,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.05,blend_50_50,0.04987960096319229,0.04987960096319229,0.0,0.37643342967116944,0.3759746515593398,0.00045877811182964967,290,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.05,blend_specialist_25,0.04987960096319229,0.04987960096319229,0.0,0.37634495926260514,0.3759746515593398,0.000370307703265349,290,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.1,replace,0.0999312005503956,0.0999312005503956,0.0,0.3757086306851719,0.3759746515593398,-0.00026602087416788267,581,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.1,blend_50_50,0.0999312005503956,0.0999312005503956,0.0,0.37639078200989096,0.3759746515593398,0.0004161304505511665,581,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.1,blend_specialist_25,0.0999312005503956,0.0999312005503956,0.0,0.37634150657558463,0.3759746515593398,0.00036685501624483807,581,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.15,replace,0.1499828001375989,0.1499828001375989,0.0,0.37534620030694243,0.3759746515593398,-0.0006284512523973551,872,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.15,blend_50_50,0.1499828001375989,0.1499828001375989,0.0,0.3766323685206247,0.3759746515593398,0.0006577169612849154,872,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.15,blend_specialist_25,0.1499828001375989,0.1499828001375989,0.0,0.37655642637411874,0.3759746515593398,0.0005817748147789459,872,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.2,replace,0.1998624011007912,0.1998624011007912,0.0,0.37475106563139254,0.3759746515593398,-0.001223585927947246,1162,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.2,blend_50_50,0.1998624011007912,0.1998624011007912,0.0,0.3768888054076578,0.3759746515593398,0.0009141538483180001,1162,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.2,blend_specialist_25,0.1998624011007912,0.1998624011007912,0.0,0.37656700388257575,0.3759746515593398,0.0005923523232359562,1162,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.3,replace,0.2999656002751978,0.2999656002751978,0.0,0.3747231080155859,0.3759746515593398,-0.0012515435437538969,1744,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.3,blend_50_50,0.2999656002751978,0.2999656002751978,0.0,0.37689934170333256,0.3759746515593398,0.0009246901439927679,1744,False
hard,domain_conflict_minilm,domain_conflict,minilm,0.3,blend_specialist_25,0.2999656002751978,0.2999656002751978,0.0,0.37672038383477274,0.3759746515593398,0.0007457322754329532,1744,False
hard,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.05,replace,0.04987960096319229,0.0,0.04987960096319229,0.3742772101760846,0.3759746515593398,-0.0016974413832551716,290,False
hard,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.05,blend_50_50,0.04987960096319229,0.0,0.04987960096319229,0.37559025417829645,0.3759746515593398,-0.0003843973810433443,290,False
