kind,pattern,support,negative_support,positive_support,positive_rate,fpr,fnr,false_positives,false_negatives
char,дляс,1128,729,399,0.3537234042553192,0.1550068587105624,0.5513784461152882,113,220
char,мяг,521,287,234,0.4491362763915547,0.39372822299651566,0.2905982905982906,113,68
char,ьный,1316,881,435,0.3305471124620061,0.1271282633371169,0.5448275862068965,112,237
char,ягк,507,281,226,0.4457593688362919,0.398576512455516,0.27876106194690264,112,63
char,мягк,506,280,226,0.44664031620553357,0.4,0.27876106194690264,112,63
char,оло,3411,2646,765,0.22427440633245382,0.04195011337868481,0.6562091503267974,111,502
char,льный,1303,872,431,0.33077513430544897,0.12729357798165136,0.54292343387471,111,234
char,кий,1192,788,404,0.3389261744966443,0.1383248730964467,0.5594059405940595,109,226
char,шин,881,591,290,0.32917139614074914,0.18274111675126903,0.43448275862068964,108,126
char,кол,3051,2401,650,0.21304490331039003,0.044564764681382756,0.7538461538461538,107,490
char,маш,757,470,287,0.37912813738441214,0.2276595744680851,0.4181184668989547,107,120
char,ика,1056,679,377,0.35700757575757575,0.1561119293078056,0.5225464190981433,106,197
char,бел,1789,1325,464,0.25936277249860257,0.07924528301886792,0.5948275862068966,105,276
char,ами,2349,1926,423,0.18007662835249041,0.05399792315680166,0.46335697399527187,104,196
char,ите,1366,931,435,0.3184480234260615,0.11170784103114931,0.5402298850574713,104,235
char,аши,732,451,281,0.383879781420765,0.23059866962305986,0.4199288256227758,104,118
char,лек,1707,1307,400,0.23432923257176333,0.07804131599081866,0.685,102,274
char,ные,3130,2600,530,0.16932907348242812,0.03884615384615384,0.5886792452830188,101,312
char,под,1715,1242,473,0.27580174927113704,0.08132045088566828,0.6511627906976745,101,308
char,ашин,670,413,257,0.3835820895522388,0.24455205811138014,0.42023346303501946,101,108
char,маши,660,409,251,0.3803030303030303,0.2469437652811736,0.41434262948207173,101,104
char,машин,659,409,250,0.37936267071320184,0.2469437652811736,0.412,101,103
char,яигру,420,195,225,0.5357142857142857,0.517948717948718,0.19555555555555557,101,44
char,тра,1126,706,420,0.37300177619893427,0.141643059490085,0.5333333333333333,100,224
char,све,1203,751,452,0.37572734829592686,0.1318242343541944,0.5685840707964602,99,257
char,гка,403,208,195,0.4838709677419355,0.47596153846153844,0.22564102564102564,99,44
char,гкая,403,208,195,0.4838709677419355,0.47596153846153844,0.22564102564102564,99,44
