kind,pattern,support,negative_support,positive_support,positive_rate,fpr,fnr,false_positives,false_negatives
word,s,572,401,171,0.29895104895104896,0.08229426433915212,0.6491228070175439,33,111
word,воздуха,165,95,70,0.42424242424242425,0.3473684210526316,0.4142857142857143,33,29
word,для творчества,134,66,68,0.5074626865671642,0.5,0.22058823529411764,33,15
word,300,292,197,95,0.3253424657534247,0.16243654822335024,0.5157894736842106,32,49
word,100 мл,225,138,87,0.38666666666666666,0.2318840579710145,0.6896551724137931,32,60
word,в 1,201,132,69,0.34328358208955223,0.24242424242424243,0.43478260869565216,32,30
word,вытяжка,124,93,31,0.25,0.34408602150537637,0.41935483870967744,32,13
word,из,987,804,183,0.18541033434650456,0.03855721393034826,0.639344262295082,31,117
word,25,779,615,164,0.21052631578947367,0.05040650406504065,0.6097560975609756,31,100
word,500 мл,243,138,105,0.43209876543209874,0.2246376811594203,0.4095238095238095,31,43
word,освежитель,131,77,54,0.4122137404580153,0.4025974025974026,0.2222222222222222,31,12
word,15,499,301,198,0.3967935871743487,0.09966777408637874,0.5252525252525253,30,104
word,для собак,394,269,125,0.31725888324873097,0.11152416356877323,0.592,30,74
word,кукла,108,46,62,0.5740740740740741,0.6521739130434783,0.20967741935483872,30,13
word,гель для,170,87,83,0.48823529411764705,0.3333333333333333,0.4578313253012048,29,38
word,варочная,152,117,35,0.23026315789473684,0.24786324786324787,0.34285714285714286,29,12
word,освежитель воздуха,118,70,48,0.4067796610169492,0.4142857142857143,0.25,29,12
word,d,722,508,214,0.296398891966759,0.05511811023622047,0.6542056074766355,28,140
word,микс,140,82,58,0.4142857142857143,0.34146341463414637,0.39655172413793105,28,23
word,16,678,551,127,0.1873156342182891,0.04900181488203267,0.6535433070866141,27,83
word,а,463,354,109,0.23542116630669546,0.07344632768361582,0.7706422018348624,26,84
word,80,336,228,108,0.32142857142857145,0.11403508771929824,0.6666666666666666,26,72
word,корм для,303,196,107,0.35313531353135313,0.1326530612244898,0.5700934579439252,26,61
word,волос,298,168,130,0.436241610738255,0.15476190476190477,0.6076923076923076,26,79
word,игра,246,38,208,0.8455284552845529,0.6842105263157895,0.15384615384615385,26,32
word,grass,186,72,114,0.6129032258064516,0.3611111111111111,0.38596491228070173,26,44
word,кондиционер,177,89,88,0.4971751412429379,0.29213483146067415,0.5681818181818182,26,50
word,200,504,366,138,0.27380952380952384,0.06830601092896176,0.6376811594202898,25,88
word,2 шт,329,241,88,0.2674772036474164,0.1037344398340249,0.4772727272727273,25,42
word,24,320,204,116,0.3625,0.12254901960784313,0.603448275862069,25,70
word,1 5,267,165,102,0.38202247191011235,0.15151515151515152,0.6274509803921569,25,64
