specialist,slice_type,slice_value,iid_n,iid_macro_ap_delta,iid_logloss_gain,iid_mae_gain,iid_binary_net_correction_rate,hard_n,hard_macro_ap_delta,hard_logloss_gain,hard_mae_gain,hard_binary_net_correction_rate,ood_n,ood_macro_ap_delta,ood_logloss_gain,ood_mae_gain,ood_binary_net_correction_rate,iid_better,hard_better,ood_better,stable_iid_hard,stable_all_three,production_candidate,min_iid_hard_logloss_gain
minilm,title_exact_near,exact,100.0,-0.01041666666666663,-0.003888948877761613,-0.0002975426541524939,0.01,208.0,0.16666666666666663,0.007624889058956552,0.004200187499428956,-0.004807692307692308,958.0,-0.026714079912099176,0.028946760894403862,-0.0107896896986171,-0.0020876826722338203,False,False,False,False,False,False,-0.003888948877761613
rumodernbert,numeric_pack_count_state,match,3074.0,-0.01839971392334161,-0.003918665833593006,-0.0179807364701261,-0.002277163305139883,1450.0,-0.03644849125933575,0.05780870258930187,-0.013706915799983985,-0.004827586206896552,8886.0,-0.005038150117656959,0.012542051992979735,-0.017274202358207237,-0.0022507314877335135,False,False,False,False,False,False,-0.003918665833593006
rumodernbert,category,Мебель,741.0,-0.01649032318478605,-0.003940164954509207,-0.014742887548278837,0.001349527665317139,339.0,-0.020038360383323517,-0.0036613595438374324,-0.02869104601710329,-0.04129793510324484,,,,,,False,False,False,False,False,False,-0.003940164954509207
rumodernbert,category,Продукты питания,690.0,-0.018455456313501095,-0.0039470084543144785,-0.02576741514228912,0.0,311.0,-0.026381815433242695,0.05592548802197529,-0.029969950794175693,-0.04180064308681672,,,,,,False,False,False,False,False,False,-0.0039470084543144785
minilm,numeric_primary_conflict,none,3067.0,-0.011221850104848108,-0.003993265202549904,-0.006342408487809057,-0.0006521030322791001,1618.0,-0.014970505097021192,-0.0038746277386059874,-0.0036870575510792847,0.0012360939431396785,7166.0,-0.016599847901415,0.005425998446123141,-0.010898236613476891,-0.006000558191459671,False,False,False,False,False,False,-0.003993265202549904
rumodernbert,numeric_match_count,one,4343.0,-0.011902548453925466,-0.004070782780082016,-0.01959483972934086,-0.005756389592447617,2085.0,-0.0053688234992015915,0.03987488866021684,-0.01636483233451145,-0.017745803357314148,10921.0,0.0010034359707272733,0.0181469158273082,-0.015604292612858986,-0.0010072337698013004,False,False,False,False,False,False,-0.004070782780082016
rumodernbert,numeric_dimensions_state,both_missing,3527.0,-0.011034504092503616,-0.004075567681931047,-0.01883228226518788,-0.004819960306209243,1866.0,-0.013921135121578998,0.02072459870160992,-0.01732883522606467,-0.010182207931404072,11375.0,-0.003646521389141011,0.013434999373918647,-0.017346772163933665,-0.0033406593406593407,False,False,False,False,False,False,-0.004075567681931047
minilm,attribute_key_overlap,high,855.0,-0.005302155857800361,0.004273242771167488,-0.004143825989085173,-0.0035087719298245615,495.0,0.03677597604959798,-0.004097746077576613,-0.004677702753300158,-0.012121212121212121,1615.0,-0.030838804251537733,0.01890065178526929,-0.012703573569671998,-0.0018575851393188853,False,False,False,False,False,False,-0.004097746077576613
rumodernbert,category,Галантерея и аксессуары,629.0,-0.03075373613708432,-0.004108477821477051,-0.018257606916825674,-0.006359300476947536,308.0,-0.042095963147728455,0.008108289447284431,-0.013379979807250966,0.003246753246753247,,,,,,False,False,False,False,False,False,-0.004108477821477051
rumodernbert,category,Красота и гигиена,674.0,-0.0076766287618716955,-0.004147322161194956,-0.02031178659350454,-0.008902077151335312,287.0,-0.03519810015430913,0.03402310769317973,-0.02451107003713896,-0.03832752613240418,,,,,,False,False,False,False,False,False,-0.004147322161194956
