split,specialist,slice_type,slice_value,n,positive_rate,ap_category_count,bge_macro_ap,specialist_macro_ap,macro_ap_delta,bge_overall_ap,specialist_overall_ap,overall_ap_delta,bge_binary_error_rate_at_0p5,specialist_binary_error_rate_at_0p5,binary_corrected,binary_regressed,binary_net_correction,binary_net_correction_rate,logloss_specialist_better,logloss_bge_better,bge_logloss,specialist_logloss,logloss_gain,absolute_error_specialist_better,absolute_error_bge_better,bge_mae,specialist_mae,mae_gain
ood,rumodernbert,title_code_state,match,4880,0.5956967213114754,2,0.7551696733402595,0.7525161627907933,-0.002653510549466276,0.9317721724726965,0.926777242648816,-0.004994929823880501,0.1567622950819672,0.1555327868852459,147,141,6,0.0012295081967213116,1523,2889,0.3834613674717434,0.37645945506736733,0.00700191240437611,1315,2539,0.197310102213979,0.21200672690575317,-0.014696624691774171
ood,rumodernbert,title_code_state,one_missing,13648,0.17987983587338804,2,0.6029918953249209,0.5896396262827412,-0.013352269042179676,0.6442544492475952,0.6313189870882311,-0.012935462159364142,0.1354044548651817,0.13884818288393905,282,329,-47,-0.003443728018757327,3223,9273,0.33624706943238764,0.33184404860275973,0.004403020829627822,2867,7809,0.1710820248868494,0.18811889488517103,-0.017036869998321637
ood,rumodernbert,model_sku_code_state,conflict,16549,0.15565895220255,2,0.5264758559378397,0.5180923532576306,-0.008383502680209154,0.5825964431968025,0.5775056291636729,-0.005090814033129609,0.12169919632606199,0.12188047616170161,234,237,-3,-0.00018127983563961567,3538,10959,0.3462284315200014,0.330221287705354,0.016007143814647417,2958,8949,0.15079098983844277,0.16677312513630926,-0.015982135297866493
ood,rumodernbert,model_sku_code_state,match,4880,0.5956967213114754,2,0.7551696733402595,0.7525161627907933,-0.002653510549466276,0.9317721724726965,0.926777242648816,-0.004994929823880501,0.1567622950819672,0.1555327868852459,147,141,6,0.0012295081967213116,1523,2889,0.3834613674717434,0.37645945506736733,0.00700191240437611,1315,2539,0.197310102213979,0.21200672690575317,-0.014696624691774171
ood,rumodernbert,model_sku_code_state,no_evidence,6094,0.19970462750246143,2,0.6012610978799475,0.5881439353290576,-0.013117162550889905,0.5937860564753367,0.5827152974314207,-0.011070759043915968,0.1665572694453561,0.16869051526091236,167,180,-13,-0.002133245815556285,1625,4112,0.3928910879687787,0.3857667524210558,0.007124335547722996,1468,3588,0.20258855918964644,0.21897228516312073,-0.016383725973474265
ood,rumodernbert,model_sku_code_state,one_missing,13648,0.17987983587338804,2,0.6029918953249209,0.5896396262827412,-0.013352269042179676,0.6442544492475952,0.6313189870882311,-0.012935462159364142,0.1354044548651817,0.13884818288393905,282,329,-47,-0.003443728018757327,3223,9273,0.33624706943238764,0.33184404860275973,0.004403020829627822,2867,7809,0.1710820248868494,0.18811889488517103,-0.017036869998321637
ood,rumodernbert,numeric_size_state,both_missing,6748,0.37922347362181386,2,0.7138991915235922,0.7049303789305024,-0.008968812593089792,0.8136754765256897,0.8102785622445444,-0.0033969142811453024,0.2024303497332543,0.20465323058684054,198,213,-15,-0.0022228808535862477,2136,4099,0.516766547503787,0.4834454172268772,0.03332113027690976,1851,3648,0.2395898743672852,0.25369565971784674,-0.014105785350561539
ood,rumodernbert,numeric_size_state,conflict,15239,0.11326202506726163,2,0.6400191703636449,0.6372357886721228,-0.0027833816915220355,0.4891297282798192,0.47198189621144143,-0.017147832068377777,0.10230330074151847,0.1039438283351926,161,186,-25,-0.0016405275936741256,2996,10831,0.26375481661820954,0.26478183587566934,-0.0010270192574597992,2601,8736,0.13235481848107702,0.14836853888966983,-0.01601372040859283
ood,rumodernbert,numeric_size_state,match,3051,0.15339233038348082,2,0.7108512989582083,0.7107275227621705,-0.00012377619603776147,0.559275127228674,0.5494012835344243,-0.009873843694249707,0.12848246476565062,0.1373320222877745,79,106,-27,-0.008849557522123894,662,2167,0.3259232690484973,0.31954608288874825,0.006377186159748958,601,1905,0.16748648944588013,0.19310814785155686,-0.025621658405676723
ood,rumodernbert,numeric_size_state,one_missing,16133,0.2728568772082068,2,0.6445917865767128,0.6424869666131536,-0.002104819963559157,0.7996650250252917,0.7923826915605182,-0.007282333464773472,0.14411454782123598,0.14349470030372527,392,382,10,0.0006198475175106924,4115,10136,0.3770849732420603,0.366304421018978,0.010780552223082421,3555,8596,0.17870865397849622,0.1942779162801042,-0.015569262301607968
