split,route_expert,oracle_policy,score_mode,route_budget,pairs,routed_pairs,route_coverage,positive_benefit_pairs,baseline_macro_ap,macro_ap,macro_ap_gain,gain_per_route_coverage,baseline_overall_ap,overall_ap,ap_category_count,routed_minilm,routed_rumodernbert,selection_uses_label
hard,best_expert,category_balanced_directional,blend_50_50,0.15,5814,864,0.14860681114551083,3678,0.3759746515593398,0.41534863188656446,0.03937398032722467,0.2649540759519493,0.42671110574515686,0.4659757917480922,18,506,358,True
hard,best_expert,category_balanced_directional,blend_50_50,0.2,5814,1155,0.19865841073271415,3678,0.3759746515593398,0.4236007532484297,0.04762610168908993,0.23973866252845785,0.42671110574515686,0.4753740150093605,18,662,493,True
hard,best_expert,category_balanced_directional,blend_50_50,0.3,5814,1737,0.29876160990712075,3678,0.3759746515593398,0.4365714573429989,0.06059680578365911,0.20282661417742895,0.42671110574515686,0.4905190260244805,18,1014,723,True
hard,best_expert,category_balanced_directional,blend_50_50,0.4,5814,2318,0.39869281045751637,3678,0.3759746515593398,0.4450099364152542,0.06903528485591442,0.1731540751304083,0.42671110574515686,0.501122862176857,18,1377,941,True
hard,minilm,global_directional,blend_specialist_75,0.05,5814,290,0.04987960096319229,2979,0.3759746515593398,0.39591871498040876,0.01994406342106897,0.39984408527618964,0.42671110574515686,0.44823626760822144,18,290,0,True
hard,minilm,global_directional,blend_specialist_75,0.1,5814,581,0.0999312005503956,2979,0.3759746515593398,0.4106489279777078,0.03467427641836801,0.34698148553595803,0.42671110574515686,0.4624428956681843,18,581,0,True
hard,minilm,global_directional,blend_specialist_75,0.15,5814,872,0.1499828001375989,2979,0.3759746515593398,0.4200243804095039,0.044049728850164116,0.2936985361638236,0.42671110574515686,0.4731839357291121,18,872,0,True
hard,minilm,global_directional,blend_specialist_75,0.2,5814,1162,0.1998624011007912,2979,0.3759746515593398,0.42778540614458227,0.05181075458524248,0.2592321232001719,0.42671110574515686,0.48126493424448424,18,1162,0,True
hard,minilm,global_directional,blend_specialist_75,0.3,5814,1744,0.2999656002751978,2979,0.3759746515593398,0.4382226901948449,0.0622480386355051,0.20751725724015288,0.42671110574515686,0.49494166101302084,18,1744,0,True
hard,minilm,global_directional,blend_specialist_75,0.4,5814,2325,0.39989680082559337,2979,0.3759746515593398,0.441462298250322,0.06548764669098223,0.1637613668220949,0.42671110574515686,0.500605254125842,18,2325,0,True
hard,minilm,category_balanced_directional,blend_specialist_75,0.05,5814,281,0.048331613347093225,2979,0.3759746515593398,0.39488535930433055,0.018910707744990762,0.39126994601201526,0.42671110574515686,0.4462545566778646,18,281,0,True
hard,minilm,category_balanced_directional,blend_specialist_75,0.1,5814,572,0.09838321293429653,2979,0.3759746515593398,0.4103079731435986,0.034333321584258836,0.34897540505398755,0.42671110574515686,0.4605622838180862,18,572,0,True
hard,minilm,category_balanced_directional,blend_specialist_75,0.15,5814,864,0.14860681114551083,2979,0.3759746515593398,0.42095252446326414,0.044977872903924354,0.30266360308265766,0.42671110574515686,0.47131001790449173,18,864,0,True
hard,minilm,category_balanced_directional,blend_specialist_75,0.2,5814,1155,0.19865841073271415,2979,0.3759746515593398,0.4278786893796289,0.05190403782028913,0.26127279297589695,0.42671110574515686,0.48042957875477815,18,1155,0,True
hard,minilm,category_balanced_directional,blend_specialist_75,0.3,5814,1737,0.29876160990712075,2979,0.3759746515593398,0.4361534576623929,0.060178806103053095,0.20142750643819843,0.42671110574515686,0.49247687849057686,18,1737,0,True
hard,minilm,category_balanced_directional,blend_specialist_75,0.4,5814,2306,0.39662882696938423,2979,0.3759746515593398,0.4411814103340791,0.0652067587747393,0.16440246986831497,0.42671110574515686,0.4993379457263012,18,2306,0,True
hard,rumodernbert,global_directional,blend_specialist_75,0.05,5814,290,0.04987960096319229,2015,0.3759746515593398,0.3945074030479814,0.018532751488641586,0.3715497143274558,0.42671110574515686,0.4471180771458785,18,0,290,True
hard,rumodernbert,global_directional,blend_specialist_75,0.1,5814,581,0.0999312005503956,2015,0.3759746515593398,0.4083299674302999,0.03235531587096013,0.3237759147569057,0.42671110574515686,0.4617597961618318,18,0,581,True
hard,rumodernbert,global_directional,blend_specialist_75,0.15,5814,872,0.1499828001375989,2015,0.3759746515593398,0.41983415487825987,0.04385950331892008,0.29243022052316664,0.42671110574515686,0.4743772166686109,18,0,872,True
hard,rumodernbert,global_directional,blend_specialist_75,0.2,5814,1162,0.1998624011007912,2015,0.3759746515593398,0.4312520214439346,0.05527736988459481,0.27657713296818776,0.42671110574515686,0.4865685313221177,18,0,1162,True
hard,rumodernbert,global_directional,blend_specialist_75,0.3,5814,1744,0.2999656002751978,2015,0.3759746515593398,0.44277550080104844,0.06680084924170865,0.22269503296519155,0.42671110574515686,0.5047981662865743,18,0,1744,True
hard,rumodernbert,global_directional,blend_specialist_75,0.4,5814,2015,0.34657722738218094,2015,0.3759746515593398,0.4435460971083211,0.06757144554898131,0.19496793271552226,0.42671110574515686,0.5057086215752229,18,0,2015,True
hard,rumodernbert,category_balanced_directional,blend_specialist_75,0.05,5814,281,0.048331613347093225,2015,0.3759746515593398,0.39436426987687767,0.01838961831753788,0.38048840177283005,0.42671110574515686,0.4464208926272313,18,0,281,True
